Neuron 0 → max=20.5010, min=0.0000, thr=18.4509
   Video 21, Frame 1093, Value 16.9033
   Video 33, Frame 1127, Value 16.9514
   Video 33, Frame 1130, Value 16.3604
   Video 33, Frame 1134, Value 16.3236
   Video 33, Frame 1138, Value 16.4568
   Video 33, Frame 1142, Value 17.4797
   Video 34, Frame 1838, Value 17.2083
   Video 35, Frame 1126, Value 16.3514
   Video 35, Frame 1128, Value 16.4894
   Video 35, Frame 1129, Value 16.1208
   Video 35, Frame 1130, Value 16.3627
--------------------------------------------------
Neuron 4 → max=10.8627, min=0.0000, thr=9.7764
   Video 8, Frame 2071, Value 10.4631
   Video 8, Frame 2073, Value 10.1025
   Video 8, Frame 2074, Value 9.8342
   Video 8, Frame 2075, Value 10.1561
   Video 35, Frame 2072, Value 10.0470
   Video 35, Frame 2073, Value 9.7907
   Video 35, Frame 2074, Value 10.0698
   Video 35, Frame 2075, Value 10.8627
   Video 35, Frame 2085, Value 9.8854
   Video 35, Frame 2126, Value 9.9947
   Video 35, Frame 2127, Value 10.3888
--------------------------------------------------
Neuron 5 → max=9.0282, min=0.0000, thr=8.1254
   Video 8, Frame 2075, Value 8.1434
   Video 16, Frame 787, Value 8.1754
   Video 19, Frame 777, Value 8.1259
   Video 19, Frame 778, Value 8.3614
   Video 19, Frame 781, Value 8.6165
   Video 19, Frame 791, Value 8.2393
   Video 19, Frame 792, Value 8.5188
   Video 19, Frame 794, Value 8.7379
   Video 19, Frame 795, Value 8.6522
   Video 19, Frame 796, Value 8.6621
   Video 19, Frame 797, Value 8.8793
   Video 19, Frame 798, Value 8.9307
   Video 19, Frame 799, Value 8.9040
   Video 19, Frame 805, Value 8.3254
   Video 19, Frame 807, Value 8.3767
   Video 19, Frame 809, Value 8.5531
   Video 19, Frame 811, Value 8.7545
   Video 19, Frame 812, Value 8.5683
   Video 19, Frame 813, Value 9.0282
   Video 19, Frame 819, Value 8.1784
   Video 19, Frame 820, Value 8.5905
   Video 19, Frame 822, Value 8.2718
   Video 19, Frame 825, Value 8.3395
   Video 19, Frame 826, Value 8.3099
   Video 19, Frame 827, Value 8.6739
   Video 19, Frame 1031, Value 8.2678
   Video 21, Frame 745, Value 8.2663
   Video 21, Frame 765, Value 8.4287
   Video 21, Frame 766, Value 8.5744
   Video 21, Frame 767, Value 8.4584
   Video 21, Frame 769, Value 8.5063
   Video 21, Frame 770, Value 8.7510
   Video 22, Frame 828, Value 8.1740
--------------------------------------------------
Neuron 6 → max=23.2885, min=0.0000, thr=20.9596
   Video 15, Frame 1462, Value 21.0361
   Video 15, Frame 1464, Value 22.3843
   Video 15, Frame 1465, Value 21.6514
   Video 15, Frame 1466, Value 21.7927
   Video 15, Frame 1467, Value 21.5770
   Video 15, Frame 1468, Value 21.8284
   Video 15, Frame 1469, Value 21.7614
   Video 15, Frame 1470, Value 21.1923
   Video 15, Frame 1471, Value 21.4186
   Video 15, Frame 1472, Value 21.4279
   Video 15, Frame 1482, Value 21.0720
   Video 15, Frame 1484, Value 21.3594
   Video 15, Frame 1485, Value 20.9867
   Video 15, Frame 1488, Value 22.2645
   Video 15, Frame 1490, Value 21.3056
   Video 15, Frame 1492, Value 22.2038
   Video 15, Frame 1494, Value 21.8305
   Video 15, Frame 1495, Value 21.0456
   Video 15, Frame 1496, Value 21.7556
   Video 15, Frame 1497, Value 21.7301
   Video 15, Frame 1498, Value 23.2885
   Video 15, Frame 1499, Value 22.7781
   Video 15, Frame 1500, Value 21.0874
   Video 17, Frame 935, Value 21.1583
   Video 17, Frame 946, Value 21.8376
   Video 17, Frame 947, Value 21.6698
   Video 17, Frame 948, Value 21.0368
   Video 17, Frame 949, Value 21.4044
   Video 20, Frame 717, Value 21.2730
   Video 20, Frame 730, Value 21.3301
   Video 20, Frame 762, Value 21.3186
   Video 20, Frame 764, Value 21.3510
   Video 20, Frame 815, Value 21.7182
   Video 20, Frame 816, Value 21.8368
   Video 20, Frame 817, Value 21.5110
   Video 20, Frame 818, Value 22.3474
   Video 20, Frame 819, Value 22.3333
   Video 20, Frame 850, Value 21.0815
   Video 20, Frame 856, Value 21.2220
   Video 21, Frame 504, Value 21.1208
--------------------------------------------------
Neuron 7 → max=10.7464, min=0.0000, thr=9.6718
   Video 0, Frame 1287, Value 9.6980
   Video 0, Frame 1301, Value 9.7275
   Video 0, Frame 1308, Value 9.9061
   Video 0, Frame 1309, Value 10.3759
   Video 0, Frame 1331, Value 9.9519
   Video 0, Frame 1333, Value 9.7097
   Video 0, Frame 1351, Value 9.7056
   Video 1, Frame 1880, Value 9.7158
   Video 6, Frame 2699, Value 9.8900
   Video 8, Frame 1705, Value 9.8658
   Video 8, Frame 1717, Value 9.7202
   Video 19, Frame 827, Value 9.7638
   Video 21, Frame 972, Value 9.6729
   Video 21, Frame 979, Value 10.1612
   Video 21, Frame 983, Value 10.5654
   Video 21, Frame 985, Value 10.5057
   Video 21, Frame 986, Value 10.2396
   Video 21, Frame 987, Value 9.8047
   Video 21, Frame 988, Value 10.2028
   Video 21, Frame 1033, Value 9.7507
   Video 21, Frame 1036, Value 9.9519
   Video 21, Frame 1037, Value 10.1516
   Video 21, Frame 1038, Value 9.7542
   Video 24, Frame 1454, Value 9.7530
   Video 24, Frame 1464, Value 9.7520
   Video 24, Frame 1519, Value 9.8000
   Video 24, Frame 1520, Value 9.9692
   Video 24, Frame 1521, Value 9.8824
   Video 24, Frame 1524, Value 9.6978
   Video 25, Frame 1395, Value 9.8992
   Video 25, Frame 1396, Value 9.9064
   Video 25, Frame 1397, Value 10.4011
   Video 25, Frame 1398, Value 10.2947
   Video 25, Frame 1399, Value 10.0617
   Video 25, Frame 1400, Value 10.5816
   Video 25, Frame 1401, Value 10.1753
   Video 25, Frame 1402, Value 10.4350
   Video 25, Frame 1403, Value 10.7139
   Video 25, Frame 1404, Value 10.7348
   Video 25, Frame 1405, Value 10.5201
   Video 25, Frame 1406, Value 10.7464
   Video 25, Frame 1408, Value 9.7896
   Video 25, Frame 1414, Value 9.7930
   Video 25, Frame 1415, Value 9.9078
   Video 25, Frame 1429, Value 9.6883
   Video 25, Frame 1430, Value 9.7926
   Video 29, Frame 1767, Value 10.3555
   Video 29, Frame 1768, Value 10.4762
   Video 29, Frame 1769, Value 9.7145
   Video 35, Frame 1666, Value 9.7614
   Video 35, Frame 2075, Value 9.6979
   Video 35, Frame 2077, Value 9.8268
   Video 37, Frame 2270, Value 10.0965
--------------------------------------------------
Neuron 8 → max=13.5067, min=0.0000, thr=12.1560
   Video 6, Frame 3300, Value 12.1804
   Video 6, Frame 3308, Value 12.4527
   Video 6, Frame 3310, Value 12.2775
   Video 6, Frame 3318, Value 12.5695
   Video 6, Frame 3320, Value 12.1929
   Video 6, Frame 3324, Value 12.2733
   Video 6, Frame 3325, Value 12.3309
   Video 6, Frame 3326, Value 12.7994
   Video 6, Frame 3327, Value 12.2065
   Video 6, Frame 3332, Value 13.0115
   Video 6, Frame 3333, Value 12.3805
   Video 6, Frame 3334, Value 12.5316
   Video 6, Frame 3335, Value 12.2579
   Video 6, Frame 3336, Value 12.3900
   Video 6, Frame 3346, Value 12.6061
   Video 6, Frame 3371, Value 13.5067
   Video 6, Frame 3372, Value 13.1704
   Video 6, Frame 3375, Value 13.0833
   Video 6, Frame 3376, Value 12.7475
   Video 6, Frame 3383, Value 12.2452
   Video 6, Frame 3384, Value 12.6930
   Video 20, Frame 1136, Value 12.2026
   Video 25, Frame 1463, Value 12.1734
   Video 25, Frame 1466, Value 12.1938
   Video 25, Frame 1467, Value 12.2796
   Video 35, Frame 2075, Value 12.5710
   Video 35, Frame 2077, Value 12.3123
   Video 35, Frame 2080, Value 12.3188
   Video 35, Frame 2085, Value 12.3449
   Video 35, Frame 2119, Value 12.2279
   Video 35, Frame 2189, Value 12.3526
   Video 35, Frame 2190, Value 12.5792
--------------------------------------------------
Neuron 9 → max=18.1021, min=0.0000, thr=16.2919
   Video 6, Frame 4176, Value 16.3116
   Video 29, Frame 2704, Value 16.3937
   Video 33, Frame 1198, Value 17.2693
   Video 33, Frame 1199, Value 17.7173
   Video 33, Frame 1200, Value 17.0016
   Video 33, Frame 1201, Value 17.3686
   Video 33, Frame 1202, Value 17.5312
   Video 33, Frame 1203, Value 17.0869
   Video 33, Frame 1204, Value 17.2890
   Video 33, Frame 1205, Value 17.5747
   Video 33, Frame 1206, Value 17.5479
   Video 33, Frame 1207, Value 17.7115
   Video 33, Frame 1208, Value 17.3037
   Video 33, Frame 1209, Value 17.3337
   Video 33, Frame 1210, Value 18.1021
   Video 33, Frame 1211, Value 17.7896
   Video 33, Frame 1212, Value 17.8469
   Video 33, Frame 1213, Value 17.1458
   Video 33, Frame 1214, Value 17.2257
   Video 33, Frame 1215, Value 17.0639
   Video 33, Frame 1216, Value 17.0624
   Video 33, Frame 1218, Value 16.8897
   Video 33, Frame 1219, Value 16.6152
   Video 33, Frame 1220, Value 16.3825
   Video 33, Frame 1221, Value 16.6462
   Video 33, Frame 1224, Value 16.4728
   Video 33, Frame 1225, Value 16.4767
   Video 34, Frame 1912, Value 16.6824
--------------------------------------------------
Neuron 10 → max=6.6997, min=0.0000, thr=6.0297
   Video 4, Frame 2100, Value 6.3957
   Video 4, Frame 2101, Value 6.3938
   Video 4, Frame 2102, Value 6.4006
   Video 4, Frame 2103, Value 6.1506
   Video 4, Frame 2104, Value 6.2251
   Video 4, Frame 2134, Value 6.1188
   Video 4, Frame 2136, Value 6.1300
   Video 4, Frame 2137, Value 6.1237
   Video 4, Frame 2138, Value 6.1767
   Video 4, Frame 2139, Value 6.2637
   Video 4, Frame 2145, Value 6.4174
   Video 4, Frame 2147, Value 6.1836
   Video 4, Frame 2149, Value 6.2847
   Video 4, Frame 2150, Value 6.0922
   Video 4, Frame 2151, Value 6.0740
   Video 9, Frame 1662, Value 6.0302
   Video 9, Frame 1664, Value 6.2639
   Video 9, Frame 1665, Value 6.4020
   Video 9, Frame 1666, Value 6.4864
   Video 9, Frame 1667, Value 6.4189
   Video 9, Frame 1668, Value 6.6997
   Video 9, Frame 1669, Value 6.2137
   Video 9, Frame 1670, Value 6.2641
   Video 9, Frame 1671, Value 6.5641
   Video 9, Frame 1673, Value 6.0540
--------------------------------------------------
Neuron 11 → max=14.7635, min=0.0000, thr=13.2871
   Video 0, Frame 1668, Value 13.6790
   Video 0, Frame 1670, Value 13.5379
   Video 9, Frame 1660, Value 13.2946
   Video 9, Frame 1661, Value 13.6659
   Video 9, Frame 1662, Value 14.0687
   Video 9, Frame 1663, Value 13.8570
   Video 9, Frame 1664, Value 13.9261
   Video 9, Frame 1665, Value 14.0756
   Video 9, Frame 1666, Value 13.8784
   Video 9, Frame 1667, Value 13.7531
   Video 9, Frame 1668, Value 14.0167
   Video 9, Frame 1669, Value 14.3153
   Video 9, Frame 1670, Value 14.7635
   Video 9, Frame 1671, Value 14.5648
   Video 9, Frame 1673, Value 13.7653
   Video 9, Frame 1674, Value 13.7172
   Video 9, Frame 1699, Value 13.2919
   Video 33, Frame 1280, Value 13.6604
   Video 33, Frame 1281, Value 13.2943
   Video 33, Frame 1282, Value 13.5649
   Video 33, Frame 1284, Value 14.0320
--------------------------------------------------
Neuron 12 → max=2.9080, min=0.0000, thr=2.6172
   Video 20, Frame 719, Value 2.9080
   Video 20, Frame 723, Value 2.7174
--------------------------------------------------
Neuron 13 → max=0.0000, min=0.0000, thr=999999.0000
--------------------------------------------------
Neuron 14 → max=24.0875, min=0.0000, thr=21.6788
   Video 30, Frame 439, Value 21.6801
   Video 30, Frame 486, Value 22.1901
   Video 37, Frame 374, Value 21.7688
   Video 37, Frame 392, Value 22.3722
   Video 37, Frame 569, Value 21.7037
   Video 37, Frame 571, Value 22.0100
   Video 37, Frame 574, Value 21.9530
   Video 37, Frame 575, Value 22.5002
   Video 37, Frame 576, Value 23.0520
   Video 37, Frame 577, Value 22.2792
   Video 37, Frame 579, Value 22.1440
   Video 37, Frame 581, Value 22.5845
   Video 37, Frame 585, Value 22.1762
   Video 37, Frame 586, Value 22.1879
   Video 37, Frame 587, Value 22.1280
   Video 37, Frame 607, Value 22.3370
   Video 37, Frame 608, Value 22.2600
   Video 37, Frame 609, Value 22.3138
   Video 37, Frame 610, Value 21.9473
   Video 37, Frame 611, Value 24.0875
   Video 37, Frame 612, Value 22.9740
   Video 37, Frame 613, Value 22.9976
   Video 37, Frame 614, Value 22.7518
--------------------------------------------------
Neuron 15 → max=14.0946, min=0.0000, thr=12.6851
   Video 20, Frame 688, Value 12.8346
   Video 20, Frame 730, Value 12.8836
   Video 20, Frame 731, Value 12.7580
   Video 20, Frame 735, Value 12.9075
   Video 21, Frame 466, Value 13.2120
   Video 21, Frame 470, Value 13.2201
   Video 21, Frame 471, Value 13.6924
   Video 21, Frame 472, Value 13.5188
   Video 21, Frame 473, Value 13.5228
   Video 21, Frame 475, Value 12.7545
   Video 21, Frame 478, Value 13.0398
   Video 21, Frame 492, Value 13.3992
   Video 21, Frame 503, Value 13.3358
   Video 21, Frame 504, Value 14.0946
   Video 33, Frame 397, Value 12.8373
   Video 33, Frame 398, Value 12.9387
   Video 33, Frame 399, Value 12.8218
   Video 33, Frame 400, Value 13.0885
   Video 33, Frame 401, Value 13.2744
   Video 33, Frame 402, Value 13.2164
   Video 33, Frame 404, Value 13.4093
   Video 33, Frame 405, Value 13.3845
   Video 33, Frame 406, Value 12.9186
   Video 33, Frame 408, Value 13.2195
   Video 33, Frame 409, Value 12.9303
   Video 33, Frame 410, Value 12.6942
   Video 33, Frame 411, Value 13.0828
   Video 33, Frame 432, Value 13.1005
   Video 33, Frame 433, Value 12.7715
   Video 33, Frame 434, Value 12.6957
   Video 39, Frame 1346, Value 12.7075
   Video 39, Frame 1349, Value 12.7416
   Video 39, Frame 1350, Value 13.6672
   Video 39, Frame 1353, Value 13.0315
   Video 39, Frame 1357, Value 12.8793
--------------------------------------------------
Neuron 16 → max=0.8525, min=0.0000, thr=0.7673
   Video 16, Frame 135, Value 0.7935
   Video 16, Frame 137, Value 0.8049
   Video 20, Frame 68, Value 0.8525
--------------------------------------------------
Neuron 17 → max=18.5446, min=0.0000, thr=16.6901
   Video 9, Frame 1662, Value 16.7915
   Video 9, Frame 1663, Value 17.1055
   Video 9, Frame 1664, Value 16.8897
   Video 9, Frame 1665, Value 17.3458
   Video 9, Frame 1666, Value 17.0716
   Video 9, Frame 1667, Value 16.8516
   Video 9, Frame 1668, Value 17.9427
   Video 9, Frame 1669, Value 18.4632
   Video 9, Frame 1670, Value 18.5446
   Video 9, Frame 1671, Value 17.8945
   Video 9, Frame 1673, Value 17.6808
   Video 9, Frame 1674, Value 17.4154
--------------------------------------------------
Neuron 18 → max=21.7141, min=0.0000, thr=19.5427
   Video 6, Frame 3300, Value 19.7889
   Video 6, Frame 3308, Value 19.5565
   Video 15, Frame 1742, Value 19.7664
   Video 15, Frame 1744, Value 20.2105
   Video 15, Frame 1745, Value 20.1625
   Video 15, Frame 1746, Value 19.6794
   Video 15, Frame 1747, Value 20.0619
   Video 17, Frame 98, Value 19.5442
   Video 17, Frame 100, Value 19.7298
   Video 17, Frame 124, Value 19.7654
   Video 17, Frame 125, Value 19.9630
   Video 17, Frame 1070, Value 19.8064
   Video 17, Frame 1071, Value 19.5853
   Video 19, Frame 777, Value 19.8557
   Video 19, Frame 781, Value 19.7780
   Video 19, Frame 783, Value 19.6053
   Video 19, Frame 797, Value 20.3492
   Video 19, Frame 799, Value 19.6833
   Video 19, Frame 809, Value 20.9301
   Video 19, Frame 811, Value 19.7775
   Video 19, Frame 812, Value 21.0050
   Video 19, Frame 813, Value 21.7141
   Video 19, Frame 818, Value 20.3942
   Video 19, Frame 819, Value 20.1721
   Video 19, Frame 820, Value 20.6287
   Video 19, Frame 822, Value 20.0251
   Video 19, Frame 823, Value 19.5451
   Video 19, Frame 825, Value 20.7568
   Video 19, Frame 826, Value 19.9562
   Video 19, Frame 827, Value 21.6947
   Video 19, Frame 1035, Value 20.5134
   Video 20, Frame 1093, Value 19.8893
   Video 20, Frame 1095, Value 20.5002
   Video 20, Frame 1101, Value 20.3942
   Video 20, Frame 1109, Value 20.2287
   Video 20, Frame 1122, Value 19.6592
   Video 20, Frame 1136, Value 20.5050
   Video 20, Frame 1138, Value 20.8076
   Video 21, Frame 767, Value 19.6306
   Video 22, Frame 885, Value 19.6563
   Video 25, Frame 1463, Value 20.1155
   Video 25, Frame 1465, Value 20.0012
   Video 25, Frame 1466, Value 19.5431
   Video 25, Frame 1467, Value 20.9191
   Video 25, Frame 1468, Value 19.9703
   Video 25, Frame 1470, Value 20.0517
   Video 25, Frame 1471, Value 20.3991
   Video 27, Frame 115, Value 19.6064
   Video 28, Frame 796, Value 20.6654
   Video 28, Frame 798, Value 19.9630
   Video 28, Frame 799, Value 19.6950
   Video 28, Frame 800, Value 19.7367
   Video 35, Frame 2075, Value 20.2704
   Video 35, Frame 2077, Value 19.6701
   Video 37, Frame 339, Value 19.5931
   Video 37, Frame 578, Value 19.6739
   Video 37, Frame 579, Value 20.2820
   Video 37, Frame 580, Value 19.5962
   Video 37, Frame 581, Value 19.6950
   Video 37, Frame 583, Value 20.1888
   Video 37, Frame 585, Value 20.0040
   Video 37, Frame 586, Value 20.3246
   Video 37, Frame 587, Value 19.6808
   Video 37, Frame 593, Value 19.7482
   Video 37, Frame 607, Value 20.0500
   Video 37, Frame 608, Value 19.6711
   Video 37, Frame 609, Value 19.8266
   Video 37, Frame 611, Value 21.1005
   Video 37, Frame 612, Value 20.3654
   Video 37, Frame 613, Value 20.5612
   Video 37, Frame 614, Value 20.6565
   Video 37, Frame 2232, Value 19.8795
   Video 37, Frame 2233, Value 20.0526
   Video 37, Frame 2234, Value 20.3234
   Video 37, Frame 2238, Value 19.9701
   Video 37, Frame 2270, Value 20.7687
   Video 37, Frame 2272, Value 19.8812
   Video 37, Frame 2274, Value 19.8376
   Video 39, Frame 563, Value 19.6831
--------------------------------------------------
Neuron 19 → max=18.2230, min=0.0000, thr=16.4007
   Video 20, Frame 61, Value 17.0666
   Video 20, Frame 62, Value 16.9515
   Video 20, Frame 63, Value 16.7635
   Video 20, Frame 64, Value 16.6895
   Video 20, Frame 65, Value 17.2342
   Video 20, Frame 68, Value 17.0738
   Video 20, Frame 69, Value 17.2235
   Video 20, Frame 70, Value 17.6352
   Video 20, Frame 71, Value 17.4150
   Video 20, Frame 72, Value 17.8574
   Video 20, Frame 73, Value 18.1874
   Video 20, Frame 74, Value 18.2230
   Video 20, Frame 75, Value 18.1343
   Video 20, Frame 76, Value 18.0170
   Video 20, Frame 77, Value 17.9505
   Video 20, Frame 78, Value 17.8507
   Video 20, Frame 79, Value 16.6210
--------------------------------------------------
Neuron 20 → max=20.0077, min=0.0000, thr=18.0070
   Video 20, Frame 65, Value 18.5032
   Video 20, Frame 66, Value 18.7073
   Video 20, Frame 67, Value 18.3513
   Video 20, Frame 68, Value 19.5347
   Video 20, Frame 69, Value 19.7184
   Video 20, Frame 70, Value 19.8961
   Video 20, Frame 71, Value 18.7164
   Video 20, Frame 72, Value 19.4680
   Video 20, Frame 73, Value 19.6024
   Video 20, Frame 74, Value 20.0077
   Video 20, Frame 75, Value 19.7601
   Video 20, Frame 76, Value 19.7470
   Video 20, Frame 77, Value 19.7473
   Video 20, Frame 78, Value 19.4660
   Video 20, Frame 79, Value 18.1027
--------------------------------------------------
Neuron 21 → max=22.0406, min=0.0000, thr=19.8365
   Video 0, Frame 136, Value 20.5414
   Video 4, Frame 135, Value 20.9099
   Video 4, Frame 137, Value 19.9992
   Video 4, Frame 138, Value 20.3310
   Video 4, Frame 159, Value 20.1280
   Video 4, Frame 160, Value 20.3948
   Video 4, Frame 161, Value 20.8485
   Video 4, Frame 162, Value 20.2669
   Video 9, Frame 118, Value 20.2465
   Video 15, Frame 116, Value 20.3757
   Video 17, Frame 92, Value 20.1071
   Video 17, Frame 93, Value 19.8792
   Video 17, Frame 97, Value 20.2025
   Video 17, Frame 98, Value 20.7846
   Video 17, Frame 100, Value 20.2166
   Video 17, Frame 109, Value 19.8844
   Video 17, Frame 113, Value 19.9275
   Video 17, Frame 121, Value 21.3697
   Video 17, Frame 122, Value 21.5187
   Video 17, Frame 123, Value 20.9766
   Video 17, Frame 124, Value 21.0942
